ability_changelog_id,local_language_id,effect
1,9,Has no effect in battle.
1,10,Nemá žádný účinek při zápasu.
2,9,Does not prevent regular KOs from full [HP]{mechanic:hp}.
2,10,"Funguje jen proti útokům, které vždy omráčí na jeden úder. (Ne proti těm, které jsou prostě příliš silné.)"
3,9,Has no overworld effect.
3,10,Nemá žádný účinek v poli.
4,9,"Does not absorb non-damaging []{type:electric} moves, i.e. []{move:thunder-wave}."
4,10,"Neabsorbuje nezraňující [elektrické]{type:electric} útoky, např. []{move:thunder-wave}."
5,9,Triggers on every hit of multiple-hit moves.
6,9,[]{move:will-o-wisp} does not trigger this ability for Pokémon immune to [burns]{mechanic:burn}.
7,9,Has no overworld effect.
7,10,Nemá žádný účinek v poli.
8,9,Has no overworld effect.
8,10,Nemá žádný účinek v poli.
9,9,Does not take effect if acquired after entering battle.
10,9,Affects other Pokémon with this ability.
10,10,Nemá žádný účinek v poli.
11,9,Inflicts only 1/16 of the attacker's maximum [HP]{mechanic:hp} in damage.
12,9,[]{move:fire-fang} and moves that inflict [typeless damage]{mechanic:typeless-damage} ignore this ability regardless of type.
13,9,Has no overworld effect.
13,10,Nemá žádný účinek v poli.
14,9,Cannot influence the natures of Pokémon encountered by interacting with them on the overworld.
15,9,Passes back bad [poison]{mechanic:poison} as regular poison.
16,9,Has no overworld effect.
16,10,Nemá žádný účinek v poli.
17,9,"Does not affect non-damaging []{type:electric} moves, i.e. []{move:thunder-wave}.  Increases the frequency of Match Call calls on the overworld if any party Pokémon has this ability."
18,9,Redirects []{type:electric} moves without negating them or granting any [Special Attack]{mechanic:special-attack} boost.  Does not redirect []{move:hidden-power}.
19,9,Has no overworld effect.
19,10,Nemá žádný účinek v poli.
20,9,Has no overworld effect.
20,10,Nemá žádný účinek v poli.
21,9,"Prevents []{move:heal-bell} from curing the Pokémon, whether or not it is in battle."
22,9,Has no overworld effect.
22,10,Nemá žádný účinek v poli.
23,9,Does not affect friendly Pokémon's moves that target all other Pokémon.  This ability's presence is not announced upon entering battle.
24,9,Has no overworld effect.
24,10,Nemá žádný účinek v poli.
25,9,Has no overworld effect.
25,10,Nemá žádný účinek v poli.
26,9,Has no overworld effect.
26,10,Nemá žádný účinek v poli.
27,9,Doubles []{move:cut}'s grass-cutting radius on the overworld if any party Pokémon has this ability.
28,9,Has no effect in battle.
28,10,Nemá žádný účinek při zápasu.
29,9,Has no overworld effect.
29,10,Nemá žádný účinek v poli.
30,9,Has no overworld effect.
30,10,Nemá žádný účinek v poli.
31,9,Has no overworld effect.
31,10,Nemá žádný účinek v poli.
32,9,Does not take effect during [sleep]{mechanic:sleep}.
33,9,Has no overworld effect.
33,10,Nemá žádný účinek v poli.
34,9,Increases the frequency of cries heard on the overworld if any party Pokémon has this ability.
35,9,Has no overworld effect.
35,10,Nemá žádný účinek v poli.
36,9,Has no overworld effect.
36,10,Nemá žádný účinek v poli.
37,9,Has no overworld effect.
37,10,Nemá žádný účinek v poli.
38,9,[Poison]{mechanic:poison} still damages the Pokémon outside of battle.
39,9,"[Paralysis]{mechanic:paralysis} cannot prevent the Pokémon from moving, though the [Speed]{mechanic:speed} cut is unaffected.  [Poison]{mechanic:poison} still damages the Pokémon outside of battle."
40,9,"Due to a glitch, moves affected by this ability have a (100 - accuracy)% chance to hit through []{move:detect} or []{move:protect}."
41,9,[]{move:rest} works as usual during [strong sunlight]{mechanic:strong-sunlight}.
42,9,[]{move:fling} can be used as usual.
43,9,Redirects []{type:water} moves without negating them or granting any [Special Attack]{mechanic:special-attack} boost.  Does not redirect []{move:hidden-power}.
44,9,Can copy []{ability:flower-gift} and []{ability:wonder-guard}.
45,9,Can copy []{ability:forecast} and []{ability:trace}.
46,9,Powers up only when paired with []{ability:minus}.
47,9,Powers up only when paired with []{ability:plus}.
48,9,Chance of taking effect is 30%.
49,9,[]{move:triple-kick} is unaffected.
50,9,[]{move:struggle} is unaffected.  []{move:helping-hand} and []{move:defense-curl} are not taken into account.
51,9,Has no overworld effect.
52,9,Chance of taking effect is 33%.
