id,pokemon_species_id,pokemon_id,revision,name,form_name,form_name_suffix,type_1,type_2,ability_1,ability_2,ability_hidden,egg_group_1,egg_group_2,height,weight,base_hp,yield_hp,base_attack,yield_attack,base_defense,yield_defense,base_sp_attack,yield_sp_attack,base_sp_defense,yield_sp_defense,base_speed,yield_speed,base_stats_total,yield_stats_total,generation_id,introduced_in,evolves_from_species_id,evolution_chain_id,color,shape,gender_rate,catch_rate,base_happiness,base_experience,egg_cycles,has_gender_traits,growth_rate,form_category,is_permanent_form,is_battle_form,is_aesthetic_form,is_default,form_is_default,species_order,pokemon_order,form_order,form_order2
1,1,1,1,bulbasaur,,,12,4,65,,34,1,7,7,69,45,0,49,0,49,0,65,1,65,0,45,0,318,1,1,1,,1,5,8,1,45,70,64,20,0,4,,1,0,0,1,1,1,1,1,1
2,2,2,1,ivysaur,,,12,4,65,,34,1,7,10,130,60,0,62,0,63,0,80,1,80,1,60,0,405,2,1,1,1,1,5,8,1,45,70,142,20,0,4,,1,0,0,1,1,2,2,1,2
3,3,3,1,venusaur,,,12,4,65,,34,1,7,20,1000,80,0,82,0,83,0,100,2,100,1,80,0,525,3,1,1,2,1,5,8,1,45,70,236,20,1,4,,0,0,0,1,1,3,3,1,3
4,4,4,1,charmander,,,10,,66,,94,1,14,6,85,39,0,52,0,43,0,60,0,50,0,65,1,309,1,1,1,,2,8,6,1,45,70,62,20,0,4,,1,0,0,1,1,4,5,1,5
5,5,5,1,charmeleon,,,10,,66,,94,1,14,11,190,58,0,64,0,58,0,80,1,65,0,80,1,405,2,1,1,4,2,8,6,1,45,70,142,20,0,4,,1,0,0,1,1,5,6,1,6
6,6,6,1,charizard,,,10,3,66,,94,1,14,17,905,78,0,84,0,78,0,109,3,85,0,100,0,534,3,1,1,5,2,8,6,1,45,70,240,20,0,4,,0,0,0,1,1,6,7,1,7
7,7,7,1,squirtle,,,11,,67,,44,1,2,5,90,44,0,48,0,65,1,50,0,64,0,43,0,314,1,1,1,,3,2,6,1,45,70,63,20,0,4,,1,0,0,1,1,7,10,1,10
8,8,8,1,wartortle,,,11,,67,,44,1,2,10,225,59,0,63,0,80,1,65,0,80,1,58,0,405,2,1,1,7,3,2,6,1,45,70,142,20,0,4,,1,0,0,1,1,8,11,1,11
9,9,9,1,blastoise,,,11,,67,,44,1,2,16,855,79,0,83,0,100,0,85,0,105,3,78,0,530,3,1,1,8,3,2,6,1,45,70,239,20,0,4,,0,0,0,1,1,9,12,1,12
10,10,10,1,caterpie,,,7,,19,,50,3,,3,29,45,1,30,0,35,0,20,0,20,0,45,0,195,1,1,1,,4,5,14,4,255,70,39,15,0,2,,1,0,0,1,1,10,14,1,14
11,11,11,1,metapod,,,7,,61,,,3,,7,99,50,0,20,0,55,2,25,0,25,0,30,0,205,2,1,1,10,4,5,2,4,120,70,72,15,0,2,,1,0,0,1,1,11,15,1,15
12,12,12,1,butterfree,,,7,3,14,,110,3,,11,320,60,0,45,0,50,0,90,2,80,1,70,0,395,3,1,1,11,4,9,13,4,45,70,178,15,1,2,,1,0,0,1,1,12,16,1,16
13,13,13,1,weedle,,,7,4,19,,50,3,,3,32,40,0,35,0,30,0,20,0,20,0,50,1,195,1,1,1,,5,3,14,4,255,70,39,15,0,2,,1,0,0,1,1,13,17,1,17
14,14,14,1,kakuna,,,7,4,61,,,3,,6,100,45,0,25,0,50,2,25,0,25,0,35,0,205,2,1,1,13,5,10,2,4,120,70,72,15,0,2,,1,0,0,1,1,14,18,1,18
15,15,15,1,beedrill,,,7,4,68,,97,3,,10,295,65,0,90,2,40,0,45,0,80,1,75,0,395,3,1,1,14,5,10,13,4,45,70,178,15,0,2,,0,0,0,1,1,15,19,1,19
16,16,16,1,pidgey,,,1,3,51,77,145,4,,3,18,40,0,45,0,40,0,35,0,35,0,56,1,251,1,1,1,,6,3,9,4,255,70,50,15,0,4,,1,0,0,1,1,16,21,1,21
17,17,17,1,pidgeotto,,,1,3,51,77,145,4,,11,300,63,0,60,0,55,0,50,0,50,0,71,2,349,2,1,1,16,6,3,9,4,120,70,122,15,0,4,,1,0,0,1,1,17,22,1,22
18,18,18,1,pidgeot,,,1,3,51,77,145,4,,15,395,83,0,80,0,75,0,70,0,70,0,101,3,479,3,1,1,17,6,3,9,4,45,70,216,15,0,4,,0,0,0,1,1,18,23,1,23
19,19,19,1,rattata,,,1,,50,62,55,5,,3,35,30,0,56,0,35,0,25,0,35,0,72,1,253,1,1,1,,7,7,8,4,255,70,51,15,1,2,,1,0,0,1,1,19,25,1,25
20,20,20,1,raticate,,,1,,50,62,55,5,,7,185,55,0,81,0,60,0,50,0,70,0,97,2,413,2,1,1,19,7,3,8,4,127,70,145,15,1,2,,1,0,0,1,1,20,27,1,27
21,21,21,1,spearow,,,1,3,51,,97,4,,3,20,40,0,60,0,30,0,31,0,31,0,70,1,262,1,1,1,,8,3,9,4,255,70,52,15,0,2,,1,0,0,1,1,21,30,1,30
22,22,22,1,fearow,,,1,3,51,,97,4,,12,380,65,0,90,0,65,0,61,0,61,0,100,2,442,2,1,1,21,8,3,9,4,90,70,155,15,0,2,,1,0,0,1,1,22,31,1,31
23,23,23,1,ekans,,,4,,22,61,127,5,14,20,69,35,0,60,1,44,0,40,0,54,0,55,0,288,1,1,1,,9,7,2,4,255,70,58,20,0,2,,1,0,0,1,1,23,32,1,32
24,24,24,1,arbok,,,4,,22,61,127,5,14,35,650,60,0,95,2,69,0,65,0,79,0,80,0,448,2,1,1,23,9,7,2,4,90,70,157,20,0,2,,1,0,0,1,1,24,33,1,33
25,25,25,1,pikachu,,,13,,9,,31,5,6,4,60,35,0,55,0,40,0,50,0,50,0,90,2,320,2,1,1,172,10,10,8,4,190,70,112,10,1,2,,1,0,0,1,1,26,35,1,36
26,26,26,1,raichu,,,13,,9,,31,5,6,8,300,60,0,90,0,55,0,90,0,80,0,110,3,485,3,1,1,25,10,10,6,4,75,70,218,10,1,2,,1,0,0,1,1,27,42,1,43
27,27,27,1,sandshrew,,,5,,8,,146,5,,6,120,50,0,75,0,85,1,20,0,30,0,40,0,300,1,1,1,,11,10,6,4,255,70,60,20,0,2,,1,0,0,1,1,28,44,1,45
